Species,Latitude,Longitude
Randida randomness,76.13117885,-69.69096146
Randida randomness,-5.180808996,8.116002389
Randida randomness,-60.77727893,-100.5315764
Randida randomness,34.1788028,-138.0921173
Randida randomness,-42.23901034,-173.4367291
Randida randomness,58.24984943,-101.8834938
Randida randomness,8.396346265,31.02551369
Randida randomness,-4.407060835,118.9673954
Randida randomness,-68.87466619,-51.93892472
Randida randomness,48.34434196,-143.0398329
Random randeta,40.21294084,-87.11263335
Random randeta,56.88219695,-71.21102983
Random randeta,-12.61752739,-158.355388
Random randeta,57.08681263,104.0624928
Random randeta,-37.27172664,-117.9255288
Random randeta,-61.71413834,-17.50679182
Random randeta,25.14593231,-156.6631519
Random randeta,-55.27653983,33.07835637
Random randeta,-61.68910318,122.7349703
Random randeta,32.9219563,112.6646028